metric,seas,raw,scaling-multiplicative,loci,eqm,gamma
BIAS,DJF,-0.014550460502505302,0.059445224702358246,0.07026262581348419,0.05807280167937279,0.10004162788391113
BIAS,MAM,-0.3955659568309784,0.0101486686617136,-0.34848707914352417,0.05301670357584953,0.24486373364925385
BIAS,JJAS,-2.918039321899414,-0.21599820256233215,-3.7086524963378906,-0.2073226273059845,0.10600857436656952
BIAS,ON,-0.5510305166244507,0.020206555724143982,-0.14196453988552094,0.006174580659717321,0.35001134872436523
MAE,DJF,0.38998809456825256,0.421975702047348,0.4548969268798828,0.41606664657592773,0.427849680185318
MAE,MAM,0.5633609890937805,0.6144437193870544,0.7219869494438171,0.5775325894355774,0.6191219687461853
MAE,JJAS,2.947553873062134,2.169513463973999,4.333206653594971,2.031376361846924,2.002516031265259
MAE,ON,0.8555904030799866,0.9880953431129456,1.0415469408035278,0.9009721279144287,0.9675959348678589
RMSE,DJF,0.5193814635276794,0.5588933229446411,0.6039935350418091,0.5489365458488464,0.5645582675933838
RMSE,MAM,0.7153677344322205,0.8681600689888,0.9327901005744934,0.7809141278266907,0.8720942735671997
RMSE,JJAS,3.2140750885009766,2.828094482421875,4.743743896484375,2.5963022708892822,2.6113898754119873
RMSE,ON,1.1183849573135376,1.3726056814193726,1.4152264595031738,1.2260794639587402,1.3437327146530151
CORR,DJF,-0.17215603348808559,-0.027758735506434182,-0.1048687402264718,-0.008331503135250232,-0.01439129212856278
CORR,MAM,0.3911172181904798,0.3374513901790949,0.16905271144556458,0.41749341459582673,0.4770638380252595
CORR,JJAS,0.7336149956112862,0.5027758386034168,0.19689187471792138,0.5398136569068229,0.530238380735081
CORR,ON,0.32698414549019134,0.45487296219488277,0.3800372618335997,0.4837066258219612,0.5287459454406825
